;ts;day;vehicle_id;trip;lat;lon
115;-136;1;4;1;-26;-0,075026652
116;-142;1;4;1;-27;-0,068636236
117;-159,2;1;4;1;-28;-0,052841969
118;-130,8;1;4;1;-29;-0,037602002
119;-172;1;4;1;-30;-0,022878745
120;13,6;1;5;1;-1;-1,3
121;8,8;1;5;1;-2;-0,978970004
122;8;1;5;1;-3;-0,842878745
123;-4;1;5;1;-4;-0,677940009
124;0;1;5;1;-5;-0,581029996
125;-11,2;1;5;1;-6;-0,50184875
126;-22;1;5;1;-7;-0,45490196
127;-21,6;1;5;1;-8;-0,396910013
128;-23,2;1;5;1;-9;-0,325757491
129;-28;1;5;1;-10;-0,28
130;-37,2;1;5;1;-11;-0,238607315
131;-47,2;1;5;1;-12;-0,200818754
132;-52,8;1;5;1;-13;-0,166056648
133;-69,6;1;5;1;-14;-0,133871964
134;-52;1;5;1;-15;-0,143908741
135;-56,8;1;5;1;-16;-0,115880017
136;-68,4;1;5;1;-17;-0,049551079
137;-95,2;1;5;1;-18;-0,024727495
138;-56;1;5;1;-19;-0,001246399
139;-84;1;5;1;-20;-0,018970004
140;-80,8;1;5;1;-21;0,042219295
141;-120,8;1;5;1;-22;0,022422681
142;-118;1;5;1;-23;0,041727836
143;-114,4;1;5;1;-24;0,060211242
144;-140;1;5;1;-25;0,097940009
145;-94,4;1;5;1;-26;0,094973348
146;-120,4;1;5;1;-27;0,131363764
147;-148;1;5;1;-28;0,167158031
148;-107,6;1;5;1;-29;0,162397998
149;-160;1;5;1;-30;0,177121255
150;15,2;1;6;1;-1;-1,4
151;8,8;1;6;1;-2;-1,108970004
152;8;1;6;1;-3;-0,912878745
153;-0,8;1;6;1;-4;-0,797940009
154;-8;1;6;1;-5;-0,711029996
155;-13,6;1;6;1;-6;-0,61184875
156;-13,6;1;6;1;-7;-0,54490196
157;-31,2;1;6;1;-8;-0,506910013
158;-19,6;1;6;1;-9;-0,445757491
159;-44;1;6;1;-10;-0,39
160;-37,2;1;6;1;-11;-0,358607315
161;-52;1;6;1;-12;-0,330818754
162;-42,4;1;6;1;-13;-0,296056648
163;-58,4;1;6;1;-14;-0,253871964
164;-76;1;6;1;-15;-0,223908741
165;-63,2;1;6;1;-16;-0,205880017
166;-54,8;1;6;1;-17;-0,169551079
167;-66,4;1;6;1;-18;-0,134727495
168;-101,6;1;6;1;-19;-0,121246399
169;-68;1;6;1;-20;-0,108970004
170;-106;1;6;1;-21;-0,077780705
171;-112;1;6;1;-22;-0,047577319
172;-127,2;1;6;1;-23;-0,028272164
173;-104,8;1;6;1;-24;-0,029788758
174;-90;1;6;1;-25;-0,012059991
175;-146,4;1;6;1;-26;0,014973348
176;-98,8;1;6;1;-27;0,031363764
177;-103,2;1;6;1;-28;0,057158031
178;-96;1;6;1;-29;0,062397998
179;-172;1;6;1;-30;0,087121255
